id,name_ko,name_en,description,ingredients,category,spicy_level,image_url
64,제육쌈밥,"Spicy Stir-fried Pork, Leaf Wraps and Rice",This food is prepared by wrapping jeyukbokkeum and cooked rice in leafy vegetables. Jeyubokkeum is a spicy dish made with sliced pork stir-fried with onion and carrot. It is popular both as a side dish and as a main dish.,,밥 [Bap],,
65,주먹밥,Riceballs,"This is made by shaping a handful of cooked rice, seasoned with various ingredients, into a ball. Jumeokbap (riceballs) can be made with a variety of ingredients, such as bulgogi, kimchi, nuts, and leafy vegetables.",,밥 [Bap],,
66,진주비빔밥,Jinju Bibimbap,"Fluffy white rice topped with beef tartare and surrounded with vegetables that have been chopped and seasoned with soy sauce, sesame seeds, and sesame oil. Mixed with gochujang (red chili paste) at the table, this dish was originally served with a clam soup, but now the soup is often replaced with seonjiguk (a soup with coagulated pig's blood).  ",,밥 [Bap],,
67,참치김밥,Tuna Gimbap,"Gimbap with a filling of tuna mixed with mayonnaise, in addition to the basic ingredients. It is especially popular among young people.",,밥 [Bap],,
68,참치주먹밥,Tuna Rice Balls,"This dish is made by squeezing cooked rice into bite-sized balls with a filling of drained canned tuna and mayonnaise. The rice is then sprinkled with seaweed flakes and seasoned with sesame oil, sesame seeds, and salt.",,밥 [Bap],,
69,채소볶음밥,Vegetable Fried Rice,"Fried rice with a variety of vegetables, such as carrot, onion, paprika, lotus root, burdock root, and broccoli. These vegetables provide fiber, vitamins, and minerals.",,밥 [Bap],,
70,충무김밥,Chungmu Gimbap,"A local specialty of Tonyeong, chungmugimbap is finger-sized rolls of cooked rice wrapped in dried seaweed sheets and served with marinated squid and radish kimchi.",,밥 [Bap],,
71,치즈김밥,Cheese Gimbap,"Gimbap with a filling of cheddar cheese or cream cheese, in addition to the basic ingredients. It is especially popular among children and women.",,밥 [Bap],,
72,콩나물국밥,Bean Sprout and Rice Soup,"Bean sprouts and rice simmered together in a broth and seasoned with salted shrimp at the table. Using a seafood stock will yield aneven richer, more flavorful dish.",,밥 [Bap],,
73,콩나물밥,Bean Sprout Rice,"This dish is made by cooking rice and bean sprouts in a pot. When cooked, the rice mixture is placed in a bowl and served with soy sauce.",,밥 [Bap],,
74,한우국밥,Korean Beef and Rice Soup,"This dish is made by sautéing Korean beef parts for soup; adding water, radish, bean sprouts, and green onion; and letting the soup simmer. It is served with rice that can be put into the thick beef broth. The dish helps keep the body warm in winter.",,밥 [Bap],,
75,헛제삿밥,Bibimbap with Soy Sauce,"Literally meaning “fake ancestral rites meal,” heotjesabap is rice mixed with various namul (vegetable salads) and jeon (batter-fried dishes) that are typically prepared for Korean ancestral rites ceremonies. It is a type of bibimbap served with soup.",,밥 [Bap],,
76,황태구이덮밥,Grilled Dried Pollack with Rice,This is rice cooked with dried pollack fluffs and mixed with aster leaf salad. The dried pollack is brushed with a sauce and then grilled and shredded. It is served with rice and seasonings that can be mixed at the table.,,밥 [Bap],,
77,회덮밥,Raw Fish Bibimbap,"This is a bowl of rice topped with a variety of sliced raw fish and vegetables. Seasoned chogochujang (red chili paste with vinegar) is served along with it. Similar to bibimbap, this dish can be made with tuna, oyster, or other raw seafood.",,밥 [Bap],,
78,게살죽,Crab Porridge ,This crab meat porridge is made by pan-frying presoaked short grain rice in a pot greased with sesame oil and then boiling in broth. The crab meat is added at the end. It is both delicious and nutritious.,,죽 [Juk],,
79,녹두죽,Mung Bean Porridge,This porridge is made by simmering rice in liquid strained from boiled mung beans until the rice forms a slurry. The mung bean sediment is then added and thoroughly mixed with the rice and boiled again. Season with a dash of salt before serving.,,죽 [Juk],,
80,누룽지죽,ScorchedRice Porridge,"This dish is made by boiling finely crushed scorched rice in plenty of water. When it boils, the heat is reduced to let it simmer for a long time. It is served with side dishes, such as kimchi and dried radish salad.",,죽 [Juk],,
81,단팥죽,Sweet Red Bean Porridge,"This dish is made by boiling rice in a liquid strained from boiled and finely mashed red beans until the rice becomes soft. After that, red bean sediment s added and boiled and lastly sugar is added. It is a wintertime delicacy with small glutinous rice balls.",,죽 [Juk],,
82,바지락죽,Clam Porridge,"To prepare this dish, pan-fry baby clams in a hot pot greased with sesame oil and add presoaked short grain rice. Add water and bring to a boil. Chopped vegetables or soy sauce may be added to suit one’s preference.",,죽 [Juk],,
83,백합죽,Hard Clam Porridge,"A local specialty of Buan, North Jeolla Province, baekhapjuk is a porridge made with ocean quahog and presoaked short grain rice boiled together and seasoned with salt. Care should be taken not to boil the ocean quahog too long, as doing so can make it quite tough.",,죽 [Juk],,
84,버섯옥수수죽,Mushroom and Corn Porridge,"This is glutinous rice porridge boiled with finely ground, fully ripe corn. Add finely chopped matsutake mushroom to the boiling porridge and season with salt before serving.",,죽 [Juk],,
85,버섯죽,Mushroom Porridge,"Ideal as a light meal, this porridge is prepared by boiling chopped shiitake mushroom with rice. Its unique fragrance tends to stimulate one’s appetite.",,죽 [Juk],,
